TEAM,USERNAME,ACCOUNT_ID
34%,wups1e,2047b43d-6981-498a-838e-0afa14dd6c90
34%,burntbagels,b4a98503-2047-4de7-ad48-f4a03f5157a3
34%,Teuflum,c1d053c6-5e49-4fe8-8574-ecfa58267366
34%,Zeatz,a6e2b10c-2241-452e-813a-4ba33c1b1333
34%,Tigu-TM,feedb6ce-12c1-484a-bb73-4ea0c28eb041
34%,Ikarus.,973dfde4-2e0c-4cd4-9da1-4f3cc472b203
VICE,lunchies.,dcaafcaa-222a-403b-b398-e7d4e40f9a88
VICE,DJS2005,1c445baa-e8fb-4477-99b2-c1112b65fd5a
VICE,Slidelock,32269ea2-cfed-4fc9-b69a-161833d3f652
VICE,p1cnicc,772c34f1-11ad-4f06-a9ee-4fe37040f498
VICE,minced.,83903a8d-f1fe-4b6d-9236-7f70cb2792fb
VICE,Ydop_,9371cf25-0943-4ab0-a912-8cda57d06aca
Gravity x Piwo,Nalax_tm,18a323dc-a56e-4f67-ba55-49230fbeb580
Gravity x Piwo,OwlEye,d299677d-c23c-4d44-813d-199c8106c8fb
Gravity x Piwo,Demotivator13,7b3c2e14-6390-4269-a9c4-f3229d37dec4
Gravity x Piwo,n4stiiTM,731d7261-3f9b-4049-9c6e-8534723d0c91
Gravity x Piwo,Leonowitsch,ba41544d-8f6d-48bd-ba27-9cd00d795dc6
Gravity x Piwo,TsunamiZ,65be7675-eeea-467e-8d1f-579aa3095fa8
The icy Misfits,bbeardo99,d0b8b08c-fd73-43b3-b696-a53ed7dddcf1
The icy Misfits,Sc1ro,eebd5c04-74ad-4874-909b-970c423dcad9
The icy Misfits,Lemmilele,cf1f09fd-ee62-4056-bc04-9e9847de6766
The icy Misfits,Hypoflex,72173168-5738-46d3-a788-9b759c5a62c5
The icy Misfits,Xan_man04,924acd9a-648f-4d80-a011-d797dba6bb55
The icy Misfits,D794.TM,ce5e4538-37c9-420c-bf43-bbfb1659bf07
34% GearIssue,Xerutiws,16649d2f-1a0d-4e0a-a814-48f753efd68c
34% GearIssue,Mattynator_,61ae40e5-a8cf-4083-b134-c76bd8f02694
34% GearIssue,Skurt_TM,93cf9bcb-1dcf-4856-b68b-c987f8d0f920
34% GearIssue,Lenniz,4037aee1-670e-43f8-8194-d55e0b42bc54
34% GearIssue,ThomBern,a383c8e6-145a-4404-9478-4fdbf620ed16
34% GearIssue,The_Toble,52704d1b-5ff9-4d6c-8f37-cab945ae6a6d
MonkaSteer,spoder-,6b9a48bf-a0b4-452a-9151-1e3b53133faf
MonkaSteer,DancinDamage,3de15434-6a8e-48c3-8798-ba4c2fd34630
